,Symbol,Name,Sector,Clearing Type,Shares,Free Float,Listed In
150,FPRM,Paramount Modaraba 1st.,MODARABAS,NC,"13,788,418","6,204,787",ALLSHRKMIALLSHR
151,FRCL,Frontier Ceramics Ltd,GLASS & CERAMICS,NC,"37,873,821","1,893,691",ALLSHRKMIALLSHR
152,FRSM,Faran Sugar Mills Ltd,SUGAR & ALLIED INDUSTRIES,NC,"25,007,151","6,251,739",ALLSHRKMIALLSHR
153,FTMM,First Treet Mfg Modaraba,MODARABAS,NC,"883,590,287","44,179,514",ALLSHRKMIALLSHR
154,FTSM,Tri-Star Modaraba 1st.,MODARABAS,NC,"21,163,104","8,465,242",ALLSHRKMIALLSHR
155,FUDLM,U.D.L. Modaraba 1st.,MODARABAS,NC,"35,120,564","15,804,247",ALLSHRKMIALLSHR
156,FZCM,Fazal Cloth Mills Ltd.,TEXTILE COMPOSITE,NC,"30,000,000","3,000,000",ALLSHRKMIALLSHR
157,GADT,Gadoon Textile Mills Ltd,TEXTILE SPINNING,NC,"28,029,583","8,408,875",ALLSHRKSE100
158,GAL,Ghandhara Automobiles Ltd.,AUTOMOBILE ASSEMBLER,NC,"57,002,500","19,950,875",ALLSHRKMIALLSHR
159,GAMON,Gammon Pakistan Ltd,MISCELLANEOUS,NC,"28,266,231","2,826,623",ALLSHRKMIALLSHR
160,GATI,Gatron (Industries) Ltd.,SYNTHETIC & RAYON,NC,"76,729,000","3,836,448",ALLSHRKMIALLSHR
161,GATM,Gul Ahmed Textile Mills Ltd.,TEXTILE COMPOSITE,NC,"740,059,458","185,014,865",ACIALLSHRKSE100
162,GCIL,Ghani Chemical Ind.Ltd.,CHEMICAL,NC,"478,187,971","113,529,593",ALLSHR
163,GCILB,Ghani Chemical Ind.Class-B,CHEMICAL,NC,"22,000,000","21,999,204",ALLSHR
164,GFIL,Ghazi Fabrics International Ltd,TEXTILE COMPOSITE,NC,"32,635,600","3,240,000",ALLSHR
165,GGGL,Ghani Global Glass Ltd,GLASS & CERAMICS,NC,"240,000,000","120,000,000",ALLSHRKMIALLSHR
166,GGL,Ghani Global Holdings.,CHEMICAL,NC,"354,119,590","177,059,795",ALLSHRKMIALLSHR
167,GHGL,Ghani Glass Ltd.,GLASS & CERAMICS,NC,"999,714,838","299,914,451",ALLSHRKMIALLSHRKSE100
168,GHNI,Ghandhara Industries Ltd,AUTOMOBILE ASSEMBLER,NC,"42,608,844","12,782,653",ALLSHRKMIALLSHR
169,GIL,Goodluck Industries Ltd.,FOOD & PERSONAL CARE PRODUCTS,NC,"300,000",116,ALLSHRKMIALLSHR
170,GLAXO,GlaxoSmithKline Pakistan.,PHARMACEUTICALS,NC,"318,467,278","63,693,456",ALLSHRKMIALLSHRKSE100
171,GLPL,Gillette Pakistan Ltd,FOOD & PERSONAL CARE PRODUCTS,NC,"31,872,000","3,187,200",ALLSHRKMIALLSHR
172,GOC,GOC (Pak) Limited.,MISCELLANEOUS,NC,"7,348,950","1,102,401",ALLSHRKMIALLSHR
173,GRR,Globe Residency REIT,REAL ESTATE INVESTMENT TRUST,NC,"140,000,000","42,000,000",ALLSHR
174,GRYL,Grays Leasing Ltd,LEASING COMPANIES,NC,"21,500,000","2,150,000",ALLSHR
175,GTYR,Ghandhara Tyre & Rubber Co.,AUTOMOBILE PARTS & ACCESSORIES,NC,"121,933,350","48,773,340",ALLSHR
176,GVGL,Ghani Value Glass Ltd.,GLASS & CERAMICS,NC,"149,942,178","29,346,344",ALLSHRKMIALLSHR
177,GWLC,Gharibwal Cement Ltd.,CEMENT,NC,"400,273,960","60,041,094",ALLSHRKMIALLSHR
178,HABSM,Habib Sugar Mills Ltd.,SUGAR & ALLIED INDUSTRIES,NC,"150,000,000","52,500,000",ALLSHR
179,HAEL,Hala Enterprises Ltd,TEXTILE COMPOSITE,NC,"12,996,304","1,299,630",ALLSHRKMIALLSHR
180,HAFL,Hafiz Limited.,TEXTILE COMPOSITE,NC,"1,200,000","39,819",ALLSHRKMIALLSHR
181,HALEON,Haleon Pakistan Limited,PHARMACEUTICALS,NC,"117,054,508","15,633,092",ALLSHRKMIALLSHR
182,HBL,Habib Bank Ltd.,COMMERCIAL BANKS,NC,"1,466,852,508","660,083,629",ALLSHRBKTIKSE100KSE30NBPPGINITPGIUPP9
183,HBLTETF,HBL Total Treasury ETF,EXCHANGE TRADED FUNDS,NC,"50,000,000",0,
184,HCAR,Honda Atlas Cars (Pakistan) Ltd.,AUTOMOBILE ASSEMBLER,NC,"142,800,000","28,560,000",ALLSHRKMIALLSHRKSE100
